,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
98,"Mahmood, T., Hussain, I., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan.·Pakistan J. Zool,·43(1), 103-111.",73.13861111,33.34583334,Reported,"073∞02'178""E","33∞08'681""N",Bad range map.,,,,,
99,"Mahmood, T., Hussain, I., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan.·Pakistan J. Zool,·43(1), 103-111.",73.33138889,33.30652778,Reported,"073∞00'700""E","33∞06'969""N",Bad range map.,,,,,
100,"Alam, M. Shamshad, and Jamal A. Khan. ""Food habits of striped hyena (Hyaena hyaena) in a semi-arid conservation area of India.""·Journal of Arid Land·7.6 (2015): 860-866.",71.04166667,21.25,Reported,70∞50'ñ71∞15'E,20∞40'ñ21∞50'N,Just on outside of range.,,,,,
101,"Migliorini, Raissa Prior, et al. ""Trophic ecology of sympatric small cats in the Brazilian Pampa.""†PloS one†13.7 (2018): e0201257.",-53.314731,-29.611556,GoogleMaps,,,,,,,,
102,"Novaro, A.J., Funes, M.C., Walker, R.S., 2000a. Ecological extinction of native prey of a carnivore assemblage in Argentine Patagonia. Biological Conservation 92, 25˚33.",-71,-40,Reported,71'W,40?S,Just on outside of range.,,,,,
103,"Walker, R. Susan, et al. ""Diets of three species of Andean carnivores in high-altitude deserts of Argentina.""·Journal of Mammalogy·88.2 (2007): 519-525.",0,25.9,Reported,Unreported,22.3 - 29.5'S,,,,NA,-25.9,
104,"Rocha-Mendes, F., S. B. Mikich, J. Quadros and W. A. Pedro (2010). ""Feeding ecology of carnivores (Mammalia, Carnivora) in Atlantic Forest remnants, Southern Brazil."" Biota Neotropica 10(4): 21-30.",-51.95833334,-23.89166667,Reported,51∫ 57í  - 51' 58'W,23' 52 - 23' 55'S,Bad range map?,,,,,
105,"Silva-Pereira, J. E., R. F. Moro-Rios, D. R. Bilski and F. C. Passos (2011). ""Diets of three sympatric Neotropical small cats: Food niche overlap and interspecies differences in prey consumption."" Mammalian Biology-Zeitschrift f_r S_ugetierkunde 76(3): 308-312.",-49.675,-25.40833333,Reported,49?39?ñ49?42? W,25?20?ñ25?29? S,Bad range map?,,,,,
106,"Trigo, T. C., F. P. Tirelli, L. F. Machado, F. B. Peters, C. B. Indrusiak, F. D. Mazim, D. Sana, E. Eizirik and T. R. O. de Freitas (2013). ""Geographic distribution and food habits of Leopardus tigrinus and L. geoffroyi (Carnivora, Felidae) at their geographic contact zone in southern Brazil."" Studies on Neotropical Fauna and Environment 48(1): 56-67.",-53.3112,-29.5777,GoogleMaps,,,,,,,,
107,"Wang, E. (2002). ""Diets of ocelots (Leopardus pardalis), margays (L-wiedii), and oncillas (L-tigrinus) in the Atlantic rainforest in southeast Brazil."" Studies on Neotropical Fauna and Environment 37(3): 207-212.",-45.11666667,-23.34166667,Reported,45∞03¢ñ45∞11¢W,23∞17¢ñ23∞24¢S,Bad range map?,,,,,
108,"C·ceres, N. C., I. R. Ghizoni-Jr, and M. E. Graipel. ""Diet of two marsupials, Lutreolina crassicaudata and Micoureus demerarae, in a coastal Atlantic Forest island of Brazil.""†Mammalia†66.3 (2002): 331-340.",-48.53333333,-27.71666667,Reported,48∞32'W,27∞43'S,On island just outsiderange.,,,,,
109,"Kru?ger, S. C., Lawes, M. J., & Maddock, A. H. (1999). Diet choice and capture success of wild dog (Lycaon pictus) in Hluhluwe-Umfolozi Park, South Africa.·Journal of Zoology,·248(4), 543-551.",31.93333334,-28.08333334,Reported,31'43' - 32'09'E,28'00' - 28'10'S,Highly fragmented ranges,,,,,
111,"Kruuk, H., and M. Turner. 1967. Comparative notes on predation by lion, leopard, cheetah and wild dog in the Serengeti area, East Africa. Mammalia 31: 1-27",34.8341,-2.3397,GoogleMaps,,,,,,,,
112,"Mbizah, Moreangels M., Jorgelina Marino, and Rosemary J. Groom. ""Diet of four sympatric carnivores in Sav? Valley Conservancy, Zimbabwe: implications for conservation of the African wild dog (Lycaon pictus).""·South African Journal of Wildlife Research·42.2 (2012): 94-103.",32,-20.08333333,Reported,32∞00íE,20∞05íS,Highly fragmented ranges,,,,,
